GEOID,State,County,Population,EJ indexes above 80th percentile,DEMOGIDX_2,PEOPCOLORPCT,LOWINCPCT,UNEMPPCT,DISABILITYPCT,LINGISOPCT,LESSHSPCT,UNDER5PCT,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER,P_DEMOGIDX_2,P_PM25,P_OZONE,P_DSLPM,P_PTRAF,P_NO2,P_LIFEEXPPCT
06001400100,California,Alameda County,3269,0,0.744,0.3102,0.0844,0.0503,0.1107,0.0065,0.0218,0.0407,0.2704,0.1056,11.345,48.73,0.25,693.849,6042420.2,0.1103,0.23,0.231,11.495,0,52.194,6.326,0,19,91,1,76,94,38,1
06001400200,California,Alameda County,2147,0,0.7531,0.3014,0.0932,0.061,0.0866,0.0034,0.0287,0.0787,0.2576,0.1641,11.273,47.684,0.376,722.383,8042952.998,0.8521,0.297,0.24,15.209,0,31.803,9.469,0,20,91,0,90,97,70,21
06001400300,California,Alameda County,5619,0,0.9944,0.4145,0.1128,0.0715,0.0901,0.0383,0.0401,0.0226,0.163,0.1056,11.248,47.36,0.377,691.868,8257281.852,0.6296,0.349,0.243,17.026,0,25.063,10.177,0,34,91,0,90,97,76,1
06001400400,California,Alameda County,4278,0,1.0245,0.3595,0.1576,0.002,0.0925,0.0051,0.024,0.0753,0.1286,0.1497,11.252,47.347,0.376,748.936,7222629.806,0.7732,0.312,0.349,18.342,0,30.361,10.221,0,35,91,0,90,96,76,11
06001400500,California,Alameda County,3949,6,1.6973,0.5852,0.2674,0.0805,0.0704,0.0173,0.0216,0.04,0.1643,0.1918,11.232,47.137,0.378,778.892,7020491.888,0.7527,0.323,0.449,20.074,0,29.149,10.602,0,64,91,0,90,96,79,48
06001400600,California,Alameda County,2058,0,1.3416,0.5603,0.1516,0.0327,0.0977,0.0091,0.0396,0.0671,0.0777,0.1938,11.231,47.044,0.378,720.757,8908101.092,0.8262,0.363,0.309,18.39,0,23.308,11.101,0,51,91,0,90,97,82,50
06001400700,California,Alameda County,4758,1,1.4282,0.5181,0.2093,0.0391,0.1402,0.0432,0.0108,0.0612,0.0998,0.1785,11.19,46.726,0.38,755.183,7748961.403,0.7583,0.384,0.441,19.838,0,22.184,10.976,0,55,91,0,90,97,82,34
06001400800,California,Alameda County,4335,2,1.4932,0.486,0.2529,0.0313,0.1134,0.0589,0.0433,0.0334,0.128,0.2113,11.165,46.334,0.389,843.986,7618287.341,0.5463,0.412,0.681,24.107,0,21.486,11.292,0,57,91,0,91,96,84,67
06001400900,California,Alameda County,2844,5,1.5376,0.6301,0.1811,0.0402,0.0861,0.0368,0.0408,0.0707,0.0478,0.2359,11.147,46.437,0.381,745.415,7947257.619,0.8116,0.423,0.499,24.916,0,20.646,10.863,0,59,91,0,90,97,81,84
06001401000,California,Alameda County,6277,5,1.5495,0.6662,0.1633,0.0581,0.1099,0.04,0.1181,0.0636,0.0695,0.2051,11.134,46.62,0.381,659.311,9758081.636,0.8265,0.486,0.274,22.304,0,17.928,11.842,0,59,91,0,90,98,87,61
