GEOID,State,County,Population,EJ indexes above 80th percentile,DEMOGIDX_2,PEOPCOLORPCT,LOWINCPCT,UNEMPPCT,DISABILITYPCT,LINGISOPCT,LESSHSPCT,UNDER5PCT,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER,P_DEMOGIDX_2,P_PM25,P_OZONE,P_DSLPM,P_PTRAF,P_NO2,P_LIFEEXPPCT
36001000100,New York,Albany County,2259,8,2.7039,0.6791,0.5811,0.1517,0.2333,0,0.2275,0.089,0.1633,0.2195,7.811,53.372,0.225,154.648,3587003.599,0.5671,1.068,0.492,14.641,5.64,11.625,8.934,0,88,38,13,71,86,65,73
36001000201,New York,Albany County,2465,8,3.206,0.8491,0.6621,0.0853,0.1866,0.0127,0.1733,0.0385,0.1249,0.2092,7.835,53.337,0.238,218.404,2904791.892,0.5672,1.191,0.556,29.811,5.227,10.219,10.975,0,95,38,13,74,81,82,65
36001000202,New York,Albany County,2374,8,3.0718,0.8665,0.6019,0.0515,0.0984,0.151,0.1318,0.0944,0.0821,0.2092,7.825,53.364,0.234,191.598,3167806.186,0.2151,1.167,0.56,22.71,3.18,10.202,10.048,0,93,38,13,73,83,75,65
36001000301,New York,Albany County,2837,8,2.8749,0.761,0.5939,0.1101,0.2263,0.0532,0.1529,0.0247,0.0793,0.2492,7.825,53.356,0.226,124.342,2793995.147,0.6874,0.585,1.148,15.437,7.468,5.568,9.491,0,91,38,13,71,80,70,90
36001000302,New York,Albany County,3200,1,1.5278,0.3866,0.3266,0.0618,0.1425,0.0056,0.043,0.1084,0.1972,0.2492,7.826,53.383,0.242,113.964,3714316.56,0.3847,1.59,0.638,10.326,4.173,5.773,9.454,0,59,38,14,74,87,70,90
36001000401,New York,Albany County,2301,0,0.6334,0.1256,0.1566,0.0198,0.2565,0,0.0664,0.0169,0.4728,0.1692,7.757,53.109,0.189,91.802,1978852.12,0.0131,0.315,0.251,4.402,0.568,2.82,8.145,0,13,36,12,61,72,57,25
36001000403,New York,Albany County,4348,0,1.249,0.3096,0.2709,0.072,0.152,0.055,0.1167,0.0225,0.1366,0.1682,7.834,53.271,0.21,101.633,2788152.067,0.8279,0.648,0.669,9.455,5.353,7.08,9.459,0,47,38,13,67,80,70,24
36001000404,New York,Albany County,5126,1,1.4181,0.4988,0.2174,0.1589,0.0427,0,0,0,0.0029,,7.812,53.252,0.274,91.63,3103368.128,0.6667,1.14,0.344,8.671,4.138,7.251,9.629,0,54,38,13,80,83,71,
36001000501,New York,Albany County,3471,8,3.0589,0.7142,0.6904,0.0932,0.273,0.1205,0.182,0.0415,0.0965,0.2021,7.827,53.326,0.199,117.273,2715103.248,0.3656,0.577,0.875,16.011,8.687,5.309,10.036,0,93,38,13,64,80,75,58
36001000502,New York,Albany County,3788,7,2.1504,0.4454,0.5201,0.0647,0.0657,0.0628,0.0524,0.0106,0.0438,0.1559,7.828,53.276,0.185,115.581,2447328.369,0.7706,0.562,0.688,12.73,5.172,9.082,9.816,0,77,38,13,59,77,73,15
